playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
barre01,8,6,7,1,2,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,7,243,0,5,0,NULL,NULL,NULL,NULL
shandji01,2,0,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,63,0,2,0,NULL,NULL,NULL,NULL
worthhe01,1,1,1,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,24,0,0,0,NULL,NULL,NULL,NULL
stanljo01,6,3,5,1,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,138,1,5,0,NULL,NULL,NULL,NULL
goodahe01,19,10,19,2,5,0,0,0,8,5,18,8,4,94,41,2,51,46,3.39,73,19,0,333,25,3,0,NULL,NULL,NULL,NULL
ladewst01,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,4.5,4,2,0,21,1,0,0,NULL,NULL,NULL,NULL
acevedo01,10,0,0,0,0,0,0,0,0,0,10,0,0,9,4,3,4,9,3.27,4,10,0,33,3,0,0,NULL,NULL,NULL,NULL
aokino01,759,377,774,135,219,98,44,3,0,0,1,0,0,1,3,0,2,0,27,3,707,658,17205,38,10,6,NULL,5500000,2016,NULL
asbelji01,17,6,6,2,3,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,0,0,1,0,1,NULL,NULL,NULL,NULL
balcebo01,7,2,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,9,0,0,0,NULL,NULL,NULL,NULL
battoch01,2,0,0,0,0,0,0,0,0,0,2,0,0,5,4,1,3,4,9,4,2,1,12,0,0,0,NULL,NULL,NULL,NULL
baumgha01,9,0,1,0,1,0,0,0,0,1,9,0,0,18,8,1,6,7,4,10,9,0,0,5,0,0,NULL,NULL,NULL,NULL
bergetr01,39,0,0,0,0,0,0,0,5,0,39,0,1,28,17,6,26,35,11.229999999999999,17,39,1,116,2,1,0,NULL,NULL,NULL,NULL
bernica01,105,48,66,7,31,15,14,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86,0,0,8,7,1,NULL,NULL,NULL,NULL
billijo01,243,44,106,12,29,5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,159,0,0,158,21,9,NULL,NULL,NULL,NULL
bohmal01,159,70,148,26,70,5,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155,144,3658,224,20,31,NULL,NULL,NULL,NULL
breuema01,86,7,10,1,4,0,0,0,25,26,86,23,3,487,217,41,154,226,29.07,246,86,0,0,75,6,4,NULL,NULL,NULL,NULL
brinkch01,148,22,46,7,12,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,145,81,2443,59,7,9,NULL,NULL,NULL,NULL
burkejo02,4,0,2,0,0,0,0,0,0,1,2,1,0,21,9,0,3,3,5.79,11,4,0,90,3,0,0,NULL,NULL,NULL,NULL
burkele02,165,33,72,7,45,0,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88,54,1536,58,14,11,NULL,NULL,NULL,NULL
carlete01,298,47,100,12,54,1,0,0,100,76,293,91,9,1630,698,105,561,808,31.639999999999997,770,293,0,0,334,14,23,NULL,NULL,NULL,NULL
carlssw01,2,0,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,0,6,0,1,NULL,NULL,NULL,NULL
carrema01,738,246,557,108,289,12,11,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,565,449,12155,116,30,156,NULL,1000000,1996,NULL
carroed01,24,2,1,0,2,0,0,0,1,0,24,0,0,77,42,6,20,13,5.61,46,24,0,0,17,0,1,NULL,NULL,NULL,NULL
cassija01,8,3,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
chenbr01,401,5,19,1,3,0,0,0,82,81,400,4,1,1578,786,257,546,1140,110.94999999999999,849,400,227,4596,194,8,5,NULL,4500000,2013,NULL
connore01,2,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,3,0,0,0,NULL,NULL,NULL,NULL
cortene01,65,0,0,0,0,0,0,0,7,5,64,0,0,172,89,38,63,183,31.54,94,64,16,516,10,1,4,NULL,NULL,NULL,NULL
coxca01,308,3,15,0,5,0,0,0,39,42,308,5,20,772,313,66,234,297,35.06,377,308,59,2285,115,4,6,NULL,NULL,NULL,NULL
