playerID,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_CG,PI_SV,PI_H,PI_HR,PI_BB,PI_SO,PI_AVG_ERA,PI_R,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,A_G_ALL,A_GP,inducted
newcodo01,94,238,33,108,2,1,1,149,90,136,7,2102,252,490,1129,4.018333333333333,956,192,4113,313,18,27,4,452,344,N
musiast01,1949,3630,725,1951,78,31,127,0,0,0,0,0,0,0,0,0,0,1198,29643,818,142,962,20,3026,1,Y
paigesa01,2,12,0,4,0,0,0,28,31,7,32,429,29,180,288,2.8183333333333334,191,1,9,62,0,3,2,179,179,Y
nichobi01,837,1484,272,948,27,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,118,67,20,5,1678,0,N
northro01,385,874,172,513,7,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,77,88,43,24,NULL,1084,0,N
pafkoan01,844,1796,264,976,38,13,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,327,9587,590,97,67,5,1852,0,N
piercbi02,94,203,13,69,1,2,0,211,169,193,32,2989,284,1178,1999,3.334999999999999,1325,280,6250,487,28,32,7,616,585,N
raschvi01,45,112,15,50,0,0,0,132,66,106,3,1666,139,727,944,5.465454545454547,828,48,846,259,8,20,4,269,269,N
portebo01,34,95,15,43,1,0,0,87,97,92,8,1571,113,552,572,5.2575,732,91,2367,280,15,15,1,322,318,N
reynoal01,56,140,19,79,1,0,0,182,107,137,49,2193,133,1261,1423,3.0707692307692303,1026,18,472,349,32,22,6,475,434,N
peskyjo01,867,1455,226,404,53,49,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,35,896,3114,178,594,1,1270,0,N
reisepe01,473,786,155,368,87,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,168,42,20,3,861,0,N
reesepe01,1338,2170,330,885,232,45,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,546,14542,6131,407,1255,10,2166,0,Y
ricede01,342,908,177,441,2,3,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,270,6850,537,75,72,1,1309,0,N
roepr01,37,68,3,28,0,0,0,127,84,101,10,1907,199,504,956,4.509166666666666,799,10,189,295,10,26,5,333,333,N
roberro01,107,255,55,103,3,1,0,286,245,305,25,4582,505,902,2357,3.555714285714285,1962,402,9058,601,31,45,7,688,676,Y
sainjo01,69,190,28,101,0,0,0,139,116,140,51,2145,180,619,910,3.933846153846154,947,0,381,371,19,18,3,433,412,N
rizzuph01,877,1588,239,563,149,58,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155,4313,4666,263,1217,5,1661,0,Y
robinja02,947,1518,273,734,197,30,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,311,7645,2728,117,830,6,1382,0,Y
sauerha01,709,1278,200,876,11,4,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,405,10162,139,74,48,2,1399,0,N
schoere01,1223,2449,427,773,89,27,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,748,19915,5466,192,1409,10,2216,0,Y
shantbo01,60,107,20,46,3,2,0,119,99,78,48,1795,151,643,1072,3.5063157894736845,817,67,3011,468,16,48,3,578,537,N
spahnwa01,141,363,57,189,4,2,0,363,245,382,29,4830,434,1434,2583,3.277727272727273,2016,397,9282,999,58,82,14,783,750,Y
simmocu01,93,194,19,76,2,1,0,193,183,163,5,3313,255,1063,1697,4.208260869565217,1551,339,7152,514,23,26,3,609,569,N
selkige01,503,810,131,576,49,32,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,55,38,18,2,846,0,N
stanked01,811,1154,185,364,48,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3323,175,829,3,1259,0,N
sistisi01,401,732,121,260,30,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1840,172,305,NULL,1016,0,N
smallro01,277,601,103,305,4,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,144,4109,2308,207,471,NULL,872,0,N
slaugen01,1247,2383,413,1304,71,15,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227,6507,152,82,35,10,2380,0,Y
snidedu01,1259,2116,358,1333,99,50,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1042,27318,123,66,18,8,2143,0,Y
sievero01,945,1703,292,1147,14,19,55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1368,35285,661,110,759,4,1887,0,N
vandejo01,58,104,12,26,1,0,0,119,121,131,2,1799,100,1132,1294,4.705384615384616,915,0,0,404,29,30,4,384,346,N
tobinji01,81,183,35,102,1,0,0,105,112,156,5,1929,107,557,498,3.495,861,0,0,480,21,28,1,396,287,N
turneji01,32,87,16,22,0,1,0,69,60,69,20,1123,67,283,329,3.8840000000000003,482,0,0,269,12,18,1,238,231,N
truckvi01,63,171,23,70,1,1,0,177,135,124,30,2416,188,1088,1534,3.6100000000000003,1124,82,2212,420,27,14,2,517,517,N
troutdi01,99,205,28,110,7,2,0,170,161,158,35,2641,112,1046,1256,8.4,1166,0,1,645,50,63,2,535,521,N
tebbebi01,357,1000,169,469,29,23,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,666,119,87,4,1162,0,N
thomsbo01,903,1705,267,1026,38,20,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,587,16021,492,119,57,3,1779,0,N
torgeea01,848,1318,215,740,133,39,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,520,14577,815,144,1097,NULL,1668,0,N
valoel01,768,1420,228,601,110,79,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,261,6928,72,67,9,NULL,1806,0,N
whiteha01,15,37,7,7,0,0,0,46,54,23,25,875,47,450,349,5.076153846153845,443,0,15,197,15,13,NULL,337,336,N
willite01,1798,2654,525,1839,24,17,86,0,0,0,0,3,0,0,1,4.5,1,717,17062,142,113,30,17,2292,1,Y
wilheho01,24,38,3,21,0,1,0,143,122,20,227,1757,150,778,1610,3.253076923076923,773,52,5853,373,11,17,5,1070,1070,Y
vernomi01,1196,2495,490,1311,137,90,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,553,14643,1448,212,2044,7,2409,0,N
walkeha01,385,786,126,214,42,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,27,75,57,20,2,807,0,N
westrwe01,302,503,59,315,10,5,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,220,5732,418,62,82,2,920,0,N
wertzvi01,867,1692,289,1178,9,19,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,723,17608,519,112,557,4,1862,0,N
willidi02,358,768,157,331,12,21,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,649,17630,544,51,157,NULL,1023,0,Y
yorkru01,876,1621,291,1152,38,26,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1167,155,1098,7,1603,0,N
wynnea01,136,365,59,173,1,0,0,300,244,290,15,4291,338,1775,2334,3.570869565217391,2037,291,6322,670,29,47,7,796,691,Y
alouma01,780,1777,236,427,156,80,38,0,0,0,0,3,0,1,3,0,0,1301,35642,176,71,155,2,1667,1,N
akerja01,3,7,2,4,0,0,0,47,45,0,123,679,64,274,404,3.8542857142857145,312,0,2240,167,8,20,NULL,496,495,N
bahnsst01,22,56,8,19,0,0,0,146,149,73,20,2440,223,924,1359,3.8157894736842106,1127,327,7586,414,35,26,NULL,575,574,N
alexado01,19,44,8,17,0,0,0,194,174,98,3,3376,324,978,1528,3.854782608695652,1541,464,10101,521,32,36,1,562,561,N
barbest01,24,65,5,27,0,1,0,121,106,59,13,1818,125,950,1309,4.0872222222222225,870,272,6000,372,38,31,2,466,466,N
bandosa01,982,1790,289,1039,75,46,69,0,0,0,0,3,0,0,0,6,2,1879,49643,3743,231,362,4,2019,1,N
barrji01,28,83,15,31,2,0,0,101,112,64,12,2170,161,469,741,3.688333333333333,908,252,6195,388,26,22,NULL,481,454,N
aparilu01,1335,2677,394,791,506,136,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2539,67221,8016,366,1553,10,2601,0,Y
ageeto01,558,999,170,433,167,81,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,962,26463,53,61,18,2,1130,0,N
allenbe01,357,815,140,352,13,16,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,910,24078,2347,100,558,NULL,1141,0,N
alleyge01,442,999,140,342,63,30,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1038,28083,3641,166,805,2,1195,0,N
aloufe01,985,2101,359,852,107,67,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1742,47576,322,96,330,3,2082,0,N
aaronha01,2174,3771,624,2297,240,73,293,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2977,78414,429,144,218,21,3298,0,Y
allendi01,1099,1848,320,1119,133,52,138,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1690,43662,1711,245,756,7,1749,0,N
bailebo01,772,1564,234,773,85,83,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1607,41282,2397,210,314,NULL,1931,0,N
alouje01,448,1216,170,377,31,46,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,929,25099,63,58,16,NULL,1380,0,N
bakerdu01,964,1981,320,1013,137,73,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1832,48088,136,59,54,2,2039,0,N
andersp01,42,104,9,34,6,9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,145,3734,403,12,70,NULL,152,0,Y
beaucji01,79,153,18,90,6,5,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131,3373,46,17,57,NULL,393,0,N
bartobo01,54,237,31,66,3,6,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,317,8454,185,28,30,NULL,393,0,N
beckegl01,685,1473,196,360,49,25,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1243,32627,3719,179,758,4,1320,0,N
belanma01,676,1316,175,389,167,75,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1691,46382,5831,211,1061,1,2016,0,N
baylodo01,1236,2135,366,1276,285,120,91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,911,24229,110,58,80,1,2292,0,N
billija01,21,62,8,23,0,0,0,145,113,74,15,2272,176,750,1141,4.517857142857143,1069,305,6695,344,17,21,1,476,476,N
bolinbo01,39,69,9,35,1,0,0,88,75,32,50,1364,164,597,1175,3.220714285714286,687,164,4730,190,15,6,NULL,496,495,N
blassst01,42,94,7,37,0,0,0,103,76,57,2,1558,128,597,896,4.575000000000001,739,231,4795,251,16,19,1,295,282,N
breweji01,2,21,2,9,1,0,0,69,65,1,132,898,92,360,810,3.542777777777778,401,35,3119,150,10,10,1,586,584,N
boutoji01,8,35,3,21,0,0,0,62,63,34,6,1131,127,435,720,3.980909090909091,566,144,3715,177,15,13,1,307,304,N
brilene01,29,72,9,29,0,0,0,129,112,64,22,2141,186,547,1163,3.856,929,279,6337,263,14,17,NULL,452,452,N
bluevi01,37,53,9,15,0,2,0,209,161,143,2,2939,263,1185,2175,3.518823529411765,1357,473,10031,427,19,21,6,508,502,N
blylebe01,19,59,7,25,0,0,0,287,250,242,0,4632,430,1322,3701,3.454166666666666,2029,685,14908,662,30,48,2,699,692,Y
berryke01,422,1053,150,343,45,46,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1098,30556,85,30,15,1,1384,0,N
blairpa01,776,1513,282,620,171,93,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1461,42527,115,57,27,2,1947,0,N
benchjo01,1091,2048,381,1376,68,43,135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003,53143,1191,151,238,14,2158,0,Y
boyerke01,1104,2143,318,1141,105,77,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1910,50711,3737,274,417,7,2034,0,N
boyercl02,645,1396,200,654,41,28,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1577,42389,3810,198,443,NULL,1725,0,N
boccajo01,117,320,56,148,3,7,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,372,10375,243,31,126,NULL,551,0,N
