playerID,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_CG,PI_SV,PI_H,PI_HR,PI_BB,PI_SO,PI_AVG_ERA,PI_R,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,A_YP,A_G_ALL,A_GP,inducted
bowmabi01,2,4,1,5,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,300,13,5,1,NULL,NULL,NULL,1,15,0,NULL
bowmaer01,29,39,4,10,3,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,1786,163,13,22,NULL,NULL,NULL,3,165,0,NULL
bowsere01,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,27,0,0,0,NULL,NULL,NULL,1,1,0,NULL
boydbo01,253,567,81,175,9,17,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,389,10635,224,38,378,NULL,NULL,NULL,9,693,0,NULL
boydfr01,3,1,1,3,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,30,2,0,0,NULL,NULL,NULL,1,2,0,NULL
boyercl02,645,1396,200,654,41,28,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1577,42389,3810,198,443,NULL,NULL,NULL,16,1725,0,N
boyerke01,1104,2143,318,1141,105,77,97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1910,50711,3737,274,417,7,NULL,NULL,15,2034,0,N
bassdo01,1,1,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,0,NULL
batscbi01,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,NULL
belnovi01,1,1,1,1,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,4,0,NULL
biglepe01,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,NULL
bluhmre01,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,NULL
bormajo01,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,NULL
bowmael01,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,0,NULL
bradfch01,0,0,0,0,0,0,0,36,28,0,11,527,28,137,313,4.341538461538462,214,0,1547,109,6,2,NULL,3666666,2009,12,562,562,NULL
brandma01,0,0,0,0,0,0,0,5,8,0,0,161,16,56,121,4.61,78,0,433,14,0,0,NULL,222500,1998,3,97,97,NULL
brantje01,5,8,1,5,0,0,0,43,46,0,172,754,105,366,728,3.797857142857143,348,18,2578,82,3,4,1,2800000,1999,14,615,615,NULL
brennwi01,0,0,0,0,0,0,0,2,2,0,0,29,2,14,18,5.475,15,3,73,4,0,0,NULL,62500,1988,2,12,12,NULL
brewebi01,0,0,0,0,0,0,0,11,11,0,5,172,26,93,137,19.11125,96,0,536,20,3,1,NULL,320000,1999,7,203,203,NULL
brewero01,30,80,15,33,1,1,5,0,0,0,0,3,1,2,1,45,5,57,1843,34,5,37,NULL,125000,1993,4,172,1,NULL
brewija01,4,5,0,1,0,0,0,9,4,0,0,124,11,64,79,4.95,66,13,362,14,0,2,NULL,109000,1995,2,40,39,NULL
briscjo01,0,0,0,0,0,0,0,5,5,0,2,124,18,129,115,6.2749999999999995,94,2,419,12,1,3,NULL,150000,1996,6,102,100,NULL
brocado01,9,12,0,1,2,0,0,52,48,0,9,885,85,310,642,4.274666666666667,436,42,2640,122,9,9,NULL,2500000,2009,15,637,626,NULL
brockch01,5,12,1,7,0,0,0,18,17,0,1,361,56,137,227,4.6883333333333335,193,30,1005,36,4,4,NULL,1000000,2002,6,148,148,NULL
brohatr01,0,1,0,0,0,0,0,4,4,0,1,70,8,28,46,5.046666666666666,37,0,200,10,0,1,NULL,200000,1999,3,82,82,NULL
bronkje01,0,0,0,0,0,0,0,2,2,0,2,74,7,29,36,4,36,0,207,14,0,1,NULL,116000,1995,3,45,45,NULL
brownke01,20,64,10,29,0,0,0,211,144,72,0,3079,208,901,2397,3.5526315789473686,1357,476,9769,562,49,37,6,15714286,2005,19,490,486,N
brownke02,0,0,0,0,0,0,0,2,2,0,0,51,5,18,23,3.5675,20,5,143,8,2,1,NULL,100000,1990,4,25,25,NULL
brownke03,0,0,0,0,0,0,0,3,5,0,0,86,8,45,44,4.27,49,13,269,18,1,0,NULL,100000,1990,3,24,24,NULL
brownmi01,0,0,0,0,0,0,0,12,20,3,0,324,35,102,115,14.275714285714287,184,42,761,31,4,1,NULL,80000,1986,6,61,61,NULL
brownto05,42,95,14,32,5,2,0,123,90,31,0,1931,236,511,1000,4.234166666666667,913,300,5763,245,20,21,1,3750000,1994,12,324,302,N
browsc01,0,0,0,0,0,0,0,3,4,0,2,120,13,68,58,6.165000000000001,84,4,321,17,1,2,NULL,225000,1998,4,59,59,NULL
brummgr01,0,0,0,0,0,0,0,4,4,0,0,82,12,28,30,5.220000000000001,42,13,218,8,0,0,NULL,109000,1993,1,13,13,NULL
bruskji01,0,1,1,0,0,0,0,9,1,0,2,154,16,68,95,4.3757142857142854,77,1,432,11,0,1,NULL,200000,2000,5,106,105,NULL
brusswa01,1,3,1,1,0,0,0,28,16,0,14,476,28,183,273,3.97,203,0,1454,79,3,7,NULL,575000,1986,9,340,340,NULL
buicede01,0,0,0,0,0,0,0,9,11,0,20,145,19,72,157,5.03,86,0,517,24,1,2,NULL,150000,1988,3,96,96,NULL
bulliji01,14,31,9,19,1,0,0,34,41,6,11,651,65,306,392,6.385714285714285,398,89,1926,99,0,6,NULL,525000,1997,7,188,186,NULL
bulliki01,0,0,0,0,0,0,0,2,0,0,1,63,8,13,22,6.362,39,0,153,17,0,1,NULL,170000,1998,5,49,49,NULL
bradlph01,565,1058,179,376,155,62,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,941,24927,60,24,7,1,1150000,1990,8,1022,0,NULL
