playerID,B_G,B_AB,B_R,B_H,B_HR,B_RBI,B_SB,B_SO,PI_W,PI_L,PI_G,PI_CG,PI_SV,PI_H,PI_ER,PI_HR,PI_BB,PI_SO,PI_ERA,PI_R,FI_G,FI_GS,FI_InnOuts,FI_A,FI_E,FI_DP,ASF_NUM_YEARS,MAX_SAL,MAX_SAL_YEAR,inducted
kammwi01,1693,802,1643,348,826,126,84,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1674,0,0,3345,185,299,NULL,NULL,NULL,N
reichri01,997,391,864,109,445,40,41,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,895,841,21779,55,30,17,NULL,NULL,NULL,N
vuckope01,286,15,33,7,13,1,0,0,93,69,286,38,10,1454,592,107,545,882,51.07999999999999,665,286,186,4366,222,21,15,NULL,540000,1985,N
palmera01,2831,1663,3020,585,1835,97,40,172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2351,2290,60666,1596,120,1785,4,9000000,2003,N
maysca01,502,113,291,32,110,1,1,0,207,126,490,231,31,2912,979,73,734,862,50.28000000000001,1211,490,0,0,1138,44,56,NULL,NULL,NULL,N
milleno01,540,166,325,68,159,16,10,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,382,319,8695,23,18,9,NULL,NULL,NULL,N
briggjo02,1366,601,1041,170,507,64,49,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1213,1078,28939,184,73,152,NULL,NULL,NULL,N
higgibo02,1362,736,1336,270,709,91,53,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1274,1239,32631,124,64,20,NULL,11850000,2003,N
burrepa01,1640,767,1393,299,976,7,3,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1386,1370,33876,114,59,48,NULL,14250000,2008,N
marisro01,1463,826,1325,195,851,21,9,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1383,1316,35206,76,49,15,4,NULL,NULL,N
blassst01,295,42,94,7,37,0,0,0,103,76,282,57,2,1558,644,128,597,896,45.75000000000001,739,283,231,4795,251,16,19,1,NULL,NULL,N
perryji01,635,73,177,22,59,0,1,0,215,174,630,109,10,3127,1258,308,998,1576,69.78,1407,631,448,9858,506,29,33,3,NULL,NULL,N
tennefr01,6,1,2,0,0,0,0,0,3,3,6,6,0,47,16,0,12,36,10.190000000000001,37,6,0,153,8,2,1,NULL,NULL,NULL,N
